Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-5.050000,1.800000,180.000000,bottom
"J1(POWER)1","PJ-102AH","Wurth-694106402002",-0.700000,0.600000,-90.000000,bottom
"ATMega1","ATmega328-PU","DIP-28_W7.62mm",2.100394,0.550394,90.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",2.783465,1.000000,180.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",2.450000,0.400000,-90.000000,top
"C3","C_0805_22pf","C_0805_2012Metric",2.582677,0.400000,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",3.350000,0.400000,180.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",1.650000,0.200000,90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",0.750000,1.000000,180.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",0.750000,0.900000,180.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",0.150000,1.752090,-90.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",0.150000,2.000000,90.000000,top
"CRYSTAL1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.950000,0.400000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",4.850000,0.400000,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.750000,1.800000,90.000000,top
"HOUR1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.350000,3.200000,90.000000,top
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",3.350000,1.100000,90.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",1.150000,0.400000,90.000000,top
"LED_MATRIX1","MAX7219","DIP-24_W7.62mm",0.450000,2.350197,0.000000,top
"MINUTE1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.850000,3.200000,90.000000,top
"R1","R_0805_10K","R_0805_2012Metric",3.050000,2.900000,180.000000,top
"R2","R_0805_10K","R_0805_2012Metric",2.550000,2.900000,180.000000,top
"R3","R_0805_10K","R_0805_2012Metric",3.516535,2.900000,180.000000,top
"R4","R_0805_2.2K","R_0805_2012Metric",4.850000,0.300000,0.000000,top
"R5","R_0805_10K","R_0805_2012Metric",4.150000,2.900000,180.000000,top
"R6","R_0805_47","R_0805_2012Metric",1.550000,0.200000,-90.000000,top
"R7","R_0805_47","R_0805_2012Metric",1.450000,0.200000,-90.000000,top
"R8","R_0805_4.7K","R_0805_2012Metric",1.750000,0.800000,-90.000000,top
"R9","R_0805_4.7K","R_0805_2012Metric",1.650000,0.933465,-90.000000,top
"R10","R_0805_22K","R_0805_2012Metric",0.950000,1.700000,90.000000,top
"RESET1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.950000,3.200000,90.000000,top
"RTC1","DS1307_DIP-8","DIP-8_W7.62mm",1.200394,1.049606,0.000000,top
"U2(POWER)1","L7805","TO-252-2",0.399213,0.939961,0.000000,top
"UTILITY1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.350000,3.200000,90.000000,top
"Y1","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.050000,1.000000,90.000000,top
